Time, Avg,Max,Min
18/8/2024 23:40,7.6,7.8,7.6
18/8/2024 23:45,7.7,7.9,7.7
18/8/2024 23:50,7.6,7.9,7.6
18/8/2024 23:55,7.5,7.8,7.5
19/8/2024 0:00,7.6,7.8,7.6
19/8/2024 0:05,7.6,7.8,7.6
19/8/2024 0:10,7.1,8.3,7.1
19/8/2024 0:15,7.3,8.1,7.3
19/8/2024 0:20,7.3,7.8,7.3
19/8/2024 0:25,7.6,7.9,7.6
19/8/2024 0:30,7.6,7.8,7.6
19/8/2024 0:35,7.6,7.8,7.6
19/8/2024 0:40,7.6,7.8,7.6
19/8/2024 0:45,7.6,7.8,7.6
19/8/2024 0:50,7.6,7.8,7.6
19/8/2024 0:55,7.6,7.8,7.6
19/8/2024 1:00,7.5,7.8,7.5
19/8/2024 1:05,7.5,7.8,7.5
19/8/2024 1:10,7.6,7.8,7.6
19/8/2024 1:15,6.9,7.9,6.9
19/8/2024 1:20,7.7,7.8,7.7
19/8/2024 1:25,7.7,7.9,7.7
19/8/2024 1:30,7.7,7.9,7.7
19/8/2024 1:35,7.7,7.8,7.7
19/8/2024 1:40,7.7,7.8,7.7
19/8/2024 1:45,7.6,7.8,7.6
19/8/2024 1:50,7.6,7.8,7.6
19/8/2024 1:55,7.6,7.8,7.6
19/8/2024 2:00,7.6,7.8,7.6
19/8/2024 2:05,7.7,7.9,7.7
19/8/2024 2:10,7.7,7.8,7.7
19/8/2024 2:15,7.6,7.8,7.6
19/8/2024 2:20,7.7,7.8,7.7
19/8/2024 2:25,7.7,7.8,7.7
19/8/2024 2:30,7.6,7.9,7.6
19/8/2024 2:35,7.7,7.8,7.7
19/8/2024 2:40,7.7,7.8,7.7
19/8/2024 2:45,7.6,7.7,7.6
19/8/2024 2:50,7.6,7.7,7.6
19/8/2024 2:55,7.6,7.7,7.6
19/8/2024 3:00,7.5,7.7,7.5
19/8/2024 3:05,7.5,7.7,7.5
19/8/2024 3:10,7.5,7.7,7.5
19/8/2024 3:15,7.5,7.7,7.5
19/8/2024 3:20,7.5,7.6,7.5
19/8/2024 3:25,7.5,7.6,7.5
19/8/2024 3:30,7.5,7.6,7.5
19/8/2024 3:35,7.5,7.6,7.5
19/8/2024 3:40,7.5,7.6,7.5
19/8/2024 3:45,7.5,7.6,7.5
19/8/2024 3:50,7.4,7.6,7.4
19/8/2024 3:55,7.4,7.6,7.4
19/8/2024 4:00,7.4,7.6,7.4
19/8/2024 4:05,7.4,7.5,7.4
19/8/2024 4:10,7.4,7.5,7.4
19/8/2024 4:15,7.4,7.6,7.4
19/8/2024 4:20,7.4,7.5,7.4
19/8/2024 4:25,7.3,7.5,7.3
19/8/2024 4:30,7.3,7.6,7.3
19/8/2024 4:35,7.4,7.5,7.4
19/8/2024 4:40,7.4,7.5,7.4
19/8/2024 4:45,7.4,7.5,7.4
19/8/2024 4:50,7.3,7.5,7.3
19/8/2024 4:55,7.2,7.4,7.2
19/8/2024 5:00,7.4,7.5,7.4
19/8/2024 5:05,7.4,7.4,7.4
19/8/2024 5:10,7.3,7.5,7.3
19/8/2024 5:15,7.4,7.5,7.4
19/8/2024 5:20,7.4,7.5,7.4
19/8/2024 5:25,7.4,7.5,7.4
19/8/2024 5:30,7.4,7.5,7.4
19/8/2024 5:35,7.3,7.5,7.3
19/8/2024 5:40,7.3,7.4,7.3
19/8/2024 5:45,7.3,7.4,7.3
19/8/2024 5:50,7.3,7.4,7.3
19/8/2024 5:55,7.3,7.4,7.3
19/8/2024 6:00,7.3,7.4,7.3
19/8/2024 6:05,7.3,7.4,7.3
19/8/2024 6:10,7.3,7.4,7.3
19/8/2024 6:15,7.3,7.4,7.3
19/8/2024 6:20,7.3,7.4,7.3
19/8/2024 6:25,7.3,7.4,7.3
19/8/2024 6:30,7.3,7.4,7.3
19/8/2024 6:35,7.3,7.4,7.3
19/8/2024 6:40,7.3,7.4,7.3
19/8/2024 6:45,7.3,7.4,7.3
19/8/2024 6:50,7.3,7.4,7.3
19/8/2024 6:55,7.3,7.4,7.3
19/8/2024 7:00,7.3,7.4,7.3
19/8/2024 7:05,7.3,7.4,7.3
19/8/2024 7:10,7.3,7.5,7.3
19/8/2024 7:15,7.4,7.4,7.4
19/8/2024 7:20,7.3,7.4,7.3
19/8/2024 7:25,7.4,7.5,7.4
19/8/2024 7:30,7.3,7.4,7.3
19/8/2024 7:35,7.3,7.4,7.3
19/8/2024 7:40,7.3,7.4,7.3
19/8/2024 7:45,7.3,7.4,7.3
19/8/2024 7:50,7.3,7.4,7.3
19/8/2024 7:55,7.3,7.4,7.3
19/8/2024 8:00,7.3,7.4,7.3
19/8/2024 8:05,7.2,7.4,7.2
19/8/2024 8:10,7.2,7.3,7.2
19/8/2024 8:15,7.2,7.3,7.2
19/8/2024 8:20,7.2,7.3,7.2
19/8/2024 8:25,7.2,7.3,7.2
19/8/2024 8:30,7.2,7.3,7.2
19/8/2024 8:35,7.2,7.3,7.2
19/8/2024 8:40,7,7.3,7
19/8/2024 8:45,7,7.3,7
19/8/2024 8:50,7.1,7.1,7.1
19/8/2024 8:55,7,7.3,7
19/8/2024 9:00,7,7.2,7
19/8/2024 9:05,7,7.2,7
19/8/2024 9:10,7,7.1,7
19/8/2024 9:15,7,7.1,7
19/8/2024 9:20,7,7.1,7
19/8/2024 9:25,6.8,7.1,6.8
19/8/2024 9:30,6.7,7.2,6.7
19/8/2024 9:35,6.9,7.2,6.9
19/8/2024 9:40,6.8,6.9,6.8
19/8/2024 9:45,6.7,7,6.7
19/8/2024 9:50,6.8,7,6.8
19/8/2024 9:55,6.8,6.9,6.8
19/8/2024 10:00,6.8,6.8,6.8
19/8/2024 10:05,6.7,6.9,6.7
19/8/2024 10:10,6.7,6.9,6.7
19/8/2024 10:15,6.7,6.9,6.7
19/8/2024 10:20,6.6,7,6.6
19/8/2024 10:25,6.6,6.8,6.6
19/8/2024 10:30,6.7,7.2,6.7
19/8/2024 10:35,6.8,7.3,6.8
19/8/2024 10:40,6.6,6.8,6.6
19/8/2024 10:45,6.7,7.1,6.7
19/8/2024 10:50,6.6,7,6.6
19/8/2024 10:55,6.6,7.3,6.6
19/8/2024 11:00,6.7,6.9,6.7
19/8/2024 11:05,6.7,7.3,6.7
19/8/2024 11:10,6.6,6.9,6.6
19/8/2024 11:15,6.5,6.8,6.5
19/8/2024 11:20,6.2,6.7,6.2
19/8/2024 11:25,6.5,6.8,6.5
19/8/2024 11:30,6.2,7.2,6.2
19/8/2024 11:35,5.9,7.4,5.9
19/8/2024 11:40,6.3,7.3,6.3
19/8/2024 11:45,6.2,6.8,6.2
19/8/2024 11:50,6,6.8,6
19/8/2024 11:55,6.2,6.9,6.2
19/8/2024 12:00,6.2,6.9,6.2
19/8/2024 12:05,6.4,6.7,6.4
19/8/2024 12:10,6.5,6.7,6.5
19/8/2024 12:15,6.5,6.8,6.5
19/8/2024 12:20,6.3,6.7,6.3
19/8/2024 12:25,6.5,6.7,6.5
19/8/2024 12:30,6.5,6.7,6.5
19/8/2024 12:35,6.5,6.7,6.5
19/8/2024 12:40,6.4,6.7,6.4
19/8/2024 12:45,6.4,6.6,6.4
19/8/2024 12:50,6.5,6.8,6.5
19/8/2024 12:55,6.6,6.7,6.6
19/8/2024 13:00,6.6,6.7,6.6
19/8/2024 13:05,6.5,6.8,6.5
19/8/2024 13:10,6.5,6.7,6.5
19/8/2024 13:15,6.5,6.8,6.5
19/8/2024 13:20,6.7,6.8,6.7
19/8/2024 13:25,6.6,6.9,6.6
19/8/2024 13:30,6.7,6.8,6.7
19/8/2024 13:35,6.7,6.9,6.7
19/8/2024 13:40,6.7,7.1,6.7
19/8/2024 13:45,6.7,7.3,6.7
19/8/2024 13:50,6.6,7.3,6.6
19/8/2024 13:55,6.7,7.2,6.7
19/8/2024 14:00,6.8,7.3,6.8
19/8/2024 14:05,6.8,7.3,6.8
19/8/2024 14:10,6.9,7.3,6.9
19/8/2024 14:15,7,7.4,7
19/8/2024 14:20,7.1,7.5,7.1
19/8/2024 14:25,7.3,7.5,7.3
19/8/2024 14:30,7.3,7.4,7.3
19/8/2024 14:35,7.3,7.4,7.3
19/8/2024 14:40,7.3,7.5,7.3
19/8/2024 14:45,7.3,7.6,7.3
19/8/2024 14:50,7.3,7.7,7.3
19/8/2024 14:55,7.4,7.6,7.4
19/8/2024 15:00,7.3,7.7,7.3
19/8/2024 15:05,7.4,7.6,7.4
19/8/2024 15:10,7.5,7.7,7.5
19/8/2024 15:15,7.5,7.7,7.5
19/8/2024 15:20,7.5,7.8,7.5
19/8/2024 15:25,7.5,7.7,7.5
19/8/2024 15:30,7.6,7.7,7.6
19/8/2024 15:35,7.6,7.8,7.6
19/8/2024 15:40,7.5,7.9,7.5
19/8/2024 15:45,7.6,7.7,7.6
19/8/2024 15:50,7.7,7.7,7.7
19/8/2024 15:55,7.5,7.7,7.5
19/8/2024 16:00,7.6,7.7,7.6
19/8/2024 16:05,7.6,7.8,7.6
19/8/2024 16:10,7.5,7.7,7.5
19/8/2024 16:15,7.3,7.8,7.3
19/8/2024 16:20,7.2,8,7.2
19/8/2024 16:25,7.2,8,7.2
19/8/2024 16:30,7.2,7.9,7.2
19/8/2024 16:35,6.7,8.5,6.7
19/8/2024 16:40,7.2,8.1,7.2
19/8/2024 16:45,7.7,8.1,7.7
19/8/2024 16:50,7.5,8.2,7.5
19/8/2024 16:55,7.6,8.2,7.6
19/8/2024 17:00,7.4,7.9,7.4
19/8/2024 17:05,7.3,8.2,7.3
19/8/2024 17:10,7.6,8.1,7.6
19/8/2024 17:15,7.7,7.9,7.7
19/8/2024 17:20,7.7,7.9,7.7
19/8/2024 17:25,7.7,7.9,7.7
19/8/2024 17:30,7.7,8,7.7
19/8/2024 17:35,7.7,8.1,7.7
19/8/2024 17:40,7.7,7.9,7.7
19/8/2024 17:45,7.9,7.9,7.9
19/8/2024 17:50,7.8,8,7.8
19/8/2024 17:55,7.8,7.9,7.8
19/8/2024 18:00,7.8,7.9,7.8
19/8/2024 18:05,7.8,8,7.8
19/8/2024 18:10,7.8,8,7.8
19/8/2024 18:15,7.8,8,7.8
19/8/2024 18:20,7.8,7.9,7.8
19/8/2024 18:25,7.8,7.9,7.8
19/8/2024 18:30,7.7,7.9,7.7
19/8/2024 18:35,7.8,7.9,7.8
19/8/2024 18:40,7.8,7.9,7.8
19/8/2024 18:45,7.8,8,7.8
19/8/2024 18:50,7.8,8,7.8
19/8/2024 18:55,7.8,7.9,7.8
19/8/2024 19:00,7.8,7.9,7.8
19/8/2024 19:05,7.8,7.9,7.8
19/8/2024 19:10,7.6,7.9,7.6
19/8/2024 19:15,7.6,7.9,7.6
19/8/2024 19:20,7.7,7.9,7.7
19/8/2024 19:25,7.8,8,7.8
19/8/2024 19:30,7.7,7.9,7.7
19/8/2024 19:35,7.7,7.9,7.7
19/8/2024 19:40,7.7,7.8,7.7
19/8/2024 19:45,7.8,7.9,7.8
19/8/2024 19:50,7.8,7.9,7.8
19/8/2024 19:55,7.8,7.9,7.8
19/8/2024 20:00,7.8,7.9,7.8
19/8/2024 20:05,7.7,7.9,7.7
19/8/2024 20:10,7.9,7.9,7.9
19/8/2024 20:15,7.7,7.9,7.7
19/8/2024 20:20,7.7,7.9,7.7
19/8/2024 20:25,7.8,7.9,7.8
19/8/2024 20:30,7.8,7.9,7.8
19/8/2024 20:35,7.8,8,7.8
19/8/2024 20:40,7.8,7.9,7.8
19/8/2024 20:45,7.9,7.9,7.9
19/8/2024 20:50,7.8,8,7.8
19/8/2024 20:55,7.8,8,7.8
19/8/2024 21:00,7.8,8,7.8
19/8/2024 21:05,7.8,7.9,7.8
19/8/2024 21:10,7.7,7.9,7.7
19/8/2024 21:15,7.7,7.9,7.7
19/8/2024 21:20,7.7,7.9,7.7
19/8/2024 21:25,7.6,7.9,7.6
19/8/2024 21:30,7.5,8,7.5
19/8/2024 21:35,7.8,8,7.8
19/8/2024 21:40,7.6,7.9,7.6
19/8/2024 21:45,7.7,8.2,7.7
19/8/2024 21:50,7.8,8,7.8
19/8/2024 21:55,7.8,8,7.8
19/8/2024 22:00,7.8,8,7.8
19/8/2024 22:05,7.8,8,7.8
19/8/2024 22:10,7.7,8.1,7.7
19/8/2024 22:15,7.7,8.1,7.7
19/8/2024 22:20,7.8,8.1,7.8
19/8/2024 22:25,7.8,8.1,7.8
19/8/2024 22:30,7.9,8.1,7.9
19/8/2024 22:35,7.7,8.1,7.7
19/8/2024 22:40,7.8,8.1,7.8
19/8/2024 22:45,7.7,8.1,7.7
19/8/2024 22:50,7.9,8.2,7.9
19/8/2024 22:55,7.9,8,7.9
19/8/2024 23:00,7.7,8.1,7.7
19/8/2024 23:05,7.9,8,7.9
19/8/2024 23:10,7.8,8.1,7.8
19/8/2024 23:15,7.9,8,7.9
19/8/2024 23:20,7.7,7.9,7.7
19/8/2024 23:25,7.8,7.9,7.8
19/8/2024 23:30,7.8,7.9,7.8
19/8/2024 23:35,7.6,7.9,7.6
19/8/2024 23:40,7.7,7.9,7.7
19/8/2024 23:45,7.8,7.9,7.8
19/8/2024 23:50,7.8,7.9,7.8
19/8/2024 23:55,7.8,7.9,7.8
20/8/2024 0:00,7.7,7.9,7.7
20/8/2024 0:05,7.8,7.9,7.8
20/8/2024 0:10,7.8,8,7.8
20/8/2024 0:15,7.9,8,7.9
20/8/2024 0:20,7.7,8.1,7.7
20/8/2024 0:25,7.9,8.1,7.9
20/8/2024 0:30,7.7,8.1,7.7
20/8/2024 0:35,7.8,8.1,7.8
20/8/2024 0:40,7.9,8.1,7.9
20/8/2024 0:45,7.8,8,7.8
20/8/2024 0:50,7.7,8.1,7.7
20/8/2024 0:55,7.7,7.9,7.7
20/8/2024 1:00,7.7,8.1,7.7
20/8/2024 1:05,7.8,8,7.8
20/8/2024 1:10,7.8,8.1,7.8
20/8/2024 1:15,7.9,8,7.9
20/8/2024 1:20,7.7,8.1,7.7
20/8/2024 1:25,7.7,8.1,7.7
20/8/2024 1:30,7.7,8.2,7.7
20/8/2024 1:35,7.7,8.1,7.7
20/8/2024 1:40,7.7,8.2,7.7
20/8/2024 1:45,7.7,8.1,7.7
20/8/2024 1:50,7.8,8.1,7.8
20/8/2024 1:55,7.8,8.1,7.8
20/8/2024 2:00,7.7,8,7.7
20/8/2024 2:05,7.9,8,7.9
20/8/2024 2:10,7.7,8.2,7.7
20/8/2024 2:15,7.9,7.9,7.9
20/8/2024 2:20,7.6,8.1,7.6
20/8/2024 2:25,7.8,8,7.8
20/8/2024 2:30,7.8,8,7.8
20/8/2024 2:35,7.9,8,7.9
20/8/2024 2:40,7.7,8,7.7
20/8/2024 2:45,7.7,8.1,7.7
20/8/2024 2:50,7.8,8.1,7.8
20/8/2024 2:55,7.7,8,7.7
20/8/2024 3:00,7.8,8,7.8
20/8/2024 3:05,7.8,7.9,7.8
20/8/2024 3:10,7.8,7.9,7.8
20/8/2024 3:15,7.8,7.9,7.8
20/8/2024 3:20,7.7,7.9,7.7
20/8/2024 3:25,7.8,8,7.8
20/8/2024 3:30,7.8,7.9,7.8
20/8/2024 3:35,7.8,7.9,7.8
20/8/2024 3:40,7.7,7.9,7.7
20/8/2024 3:45,7.8,7.9,7.8
20/8/2024 3:50,7.8,7.9,7.8
20/8/2024 3:55,7.7,7.9,7.7
20/8/2024 4:00,7.7,7.9,7.7
20/8/2024 4:05,7.7,7.8,7.7
20/8/2024 4:10,7.7,7.9,7.7
20/8/2024 4:15,7.7,7.9,7.7
20/8/2024 4:20,7.6,7.9,7.6
20/8/2024 4:25,7.6,7.8,7.6
20/8/2024 4:30,7.6,7.8,7.6
20/8/2024 4:35,7.6,7.8,7.6
20/8/2024 4:40,7.6,7.8,7.6
20/8/2024 4:45,7.5,7.8,7.5
20/8/2024 4:50,7.6,7.7,7.6
20/8/2024 4:55,7.5,7.7,7.5
20/8/2024 5:00,7.5,7.8,7.5
20/8/2024 5:05,7.5,7.8,7.5
20/8/2024 5:10,7.6,7.8,7.6
20/8/2024 5:15,7.6,7.8,7.6
20/8/2024 5:20,7.6,7.8,7.6
20/8/2024 5:25,7.6,7.8,7.6
20/8/2024 5:30,7.6,7.7,7.6
20/8/2024 5:35,7.6,7.8,7.6
20/8/2024 5:40,7.7,7.8,7.7
20/8/2024 5:45,7.6,7.7,7.6
20/8/2024 5:50,7.6,7.7,7.6
20/8/2024 5:55,7.6,7.7,7.6
20/8/2024 6:00,7.7,7.8,7.7
20/8/2024 6:05,7.6,7.8,7.6
20/8/2024 6:10,7.7,7.8,7.7
20/8/2024 6:15,7.5,7.7,7.5
20/8/2024 6:20,7.6,7.8,7.6
20/8/2024 6:25,7.6,7.8,7.6
20/8/2024 6:30,7.5,7.8,7.5
20/8/2024 6:35,7.6,7.7,7.6
20/8/2024 6:40,7.6,7.7,7.6
20/8/2024 6:45,7.5,7.8,7.5
20/8/2024 6:50,7.5,7.8,7.5
20/8/2024 6:55,7.6,7.7,7.6
20/8/2024 7:00,7.6,7.7,7.6
20/8/2024 7:05,7.6,7.7,7.6
20/8/2024 7:10,7.6,7.8,7.6
20/8/2024 7:15,7.6,7.8,7.6
20/8/2024 7:20,7.6,7.7,7.6
20/8/2024 7:25,7.5,7.6,7.5
20/8/2024 7:30,7.5,7.7,7.5
20/8/2024 7:35,7.5,7.7,7.5
20/8/2024 7:40,7.5,7.6,7.5
20/8/2024 7:45,7.5,7.7,7.5
20/8/2024 7:50,7.5,7.7,7.5
20/8/2024 7:55,7.5,7.6,7.5
20/8/2024 8:00,7.6,7.6,7.6
20/8/2024 8:05,7.5,7.6,7.5
20/8/2024 8:10,7.5,7.6,7.5
20/8/2024 8:15,7.5,7.6,7.5
20/8/2024 8:20,7.5,7.6,7.5
20/8/2024 8:25,7.5,7.6,7.5
20/8/2024 8:30,7.4,7.5,7.4
20/8/2024 8:35,7.4,7.5,7.4
20/8/2024 8:40,7.4,7.6,7.4
20/8/2024 8:45,7.4,7.6,7.4
20/8/2024 8:50,7.3,7.5,7.3
20/8/2024 8:55,7.4,7.4,7.4
20/8/2024 9:00,7.3,7.5,7.3
20/8/2024 9:05,7.3,7.6,7.3
20/8/2024 9:10,7.4,7.6,7.4
20/8/2024 9:15,7.3,7.5,7.3
20/8/2024 9:20,7.3,7.5,7.3
20/8/2024 9:25,7.3,7.6,7.3
20/8/2024 9:30,7.4,7.5,7.4
20/8/2024 9:35,7.3,7.7,7.3
20/8/2024 9:40,7.3,7.7,7.3
20/8/2024 9:45,7.4,7.6,7.4
20/8/2024 9:50,7.2,7.5,7.2
20/8/2024 9:55,7,7.4,7
20/8/2024 10:00,7.2,7.4,7.2
20/8/2024 10:05,7.3,7.5,7.3
20/8/2024 10:10,7.2,7.3,7.2
20/8/2024 10:15,7.2,7.3,7.2
20/8/2024 10:20,7,7.4,7
20/8/2024 10:25,7.1,7.4,7.1
20/8/2024 10:30,6.9,7.6,6.9
20/8/2024 10:35,7.1,7.4,7.1
20/8/2024 10:40,7,7.4,7
20/8/2024 10:45,7,7.3,7
20/8/2024 10:50,7,7.5,7
20/8/2024 10:55,7,7.3,7
20/8/2024 11:00,7,7.4,7
20/8/2024 11:05,7.1,7.3,7.1
20/8/2024 11:10,6.9,7.2,6.9
20/8/2024 11:15,6.9,7.2,6.9
20/8/2024 11:20,7,7.2,7
20/8/2024 11:25,6.9,7.2,6.9
20/8/2024 11:30,6.8,7.2,6.8
20/8/2024 11:35,6.7,7.2,6.7
20/8/2024 11:40,5.8,7.3,5.8
20/8/2024 11:45,6.8,7.2,6.8
20/8/2024 11:50,6.7,7.2,6.7
20/8/2024 11:55,6.7,7.2,6.7
20/8/2024 12:00,6.7,7.3,6.7
20/8/2024 12:05,6.7,7.2,6.7
20/8/2024 12:10,6.6,7.3,6.6
20/8/2024 12:15,6.6,7.3,6.6
20/8/2024 12:20,6.7,7.3,6.7
20/8/2024 12:25,6.5,7.3,6.5
20/8/2024 12:30,6.4,7.3,6.4
20/8/2024 12:35,6.5,7.3,6.5
20/8/2024 12:40,6.4,7.2,6.4
20/8/2024 12:45,6.5,7.3,6.5
20/8/2024 12:50,6.5,7.4,6.5
20/8/2024 12:55,6.5,7.4,6.5
20/8/2024 13:00,5.7,7.6,5.7
20/8/2024 13:05,6.4,7.7,6.4
20/8/2024 13:10,6.6,7.5,6.6
20/8/2024 13:15,6.5,7.5,6.5
20/8/2024 13:20,6.5,7.5,6.5
20/8/2024 13:25,6.7,7.6,6.7
20/8/2024 13:30,6.6,7.6,6.6
20/8/2024 13:35,6.5,7.5,6.5
20/8/2024 13:40,6.6,7.6,6.6
20/8/2024 13:45,6.7,7.6,6.7
20/8/2024 13:50,6.6,7.6,6.6
20/8/2024 13:55,6.8,7.6,6.8
20/8/2024 14:00,6.8,7.7,6.8
20/8/2024 14:05,6.9,7.6,6.9
20/8/2024 14:10,6.9,7.7,6.9
20/8/2024 14:15,6.9,7.9,6.9
20/8/2024 14:20,6.9,7.8,6.9
20/8/2024 14:25,7,7.9,7
20/8/2024 14:30,6.9,7.9,6.9
20/8/2024 14:35,7.1,7.8,7.1
20/8/2024 14:40,7.2,7.8,7.2
20/8/2024 14:45,7.1,7.9,7.1
20/8/2024 14:50,7.4,7.9,7.4
20/8/2024 14:55,7.5,7.8,7.5
20/8/2024 15:00,7.6,7.8,7.6
20/8/2024 15:05,7.3,7.8,7.3
20/8/2024 15:10,7.6,7.8,7.6
20/8/2024 15:15,7.6,7.7,7.6
20/8/2024 15:20,7.5,7.7,7.5
20/8/2024 15:25,7.4,7.8,7.4
20/8/2024 15:30,7.5,7.8,7.5
20/8/2024 15:35,7.6,7.8,7.6
20/8/2024 15:40,7.5,7.8,7.5
20/8/2024 15:45,7.3,7.8,7.3
20/8/2024 15:50,7.6,7.8,7.6
20/8/2024 15:55,7.6,7.8,7.6
20/8/2024 16:00,7.7,7.8,7.7
20/8/2024 16:05,7.6,7.9,7.6
20/8/2024 16:10,7.6,7.8,7.6
20/8/2024 16:15,7.4,7.9,7.4
20/8/2024 16:20,7.5,7.9,7.5
20/8/2024 16:25,7.6,7.9,7.6
20/8/2024 16:30,7.6,7.9,7.6
20/8/2024 16:35,7.7,7.9,7.7
20/8/2024 16:40,7.7,7.9,7.7
20/8/2024 16:45,7.7,7.9,7.7
20/8/2024 16:50,7.7,7.9,7.7
20/8/2024 16:55,7.7,7.9,7.7
20/8/2024 17:00,7.5,7.9,7.5
20/8/2024 17:05,7.3,7.9,7.3
20/8/2024 17:10,7.5,8,7.5
20/8/2024 17:15,7.2,8.3,7.2
20/8/2024 17:20,7.3,8,7.3
20/8/2024 17:25,7.3,7.9,7.3
20/8/2024 17:30,7.3,8.2,7.3
20/8/2024 17:35,7.2,8.1,7.2
20/8/2024 17:40,7.2,8.3,7.2
20/8/2024 17:45,7.3,8.4,7.3
20/8/2024 17:50,6.7,8.4,6.7
20/8/2024 17:55,7.2,8.3,7.2
20/8/2024 18:00,7,8.5,7
20/8/2024 18:05,6.9,8.5,6.9
20/8/2024 18:10,7.2,8.4,7.2
20/8/2024 18:15,7.3,8.2,7.3
20/8/2024 18:20,7.4,8.2,7.4
20/8/2024 18:25,7.7,8.2,7.7
20/8/2024 18:30,7.7,8.2,7.7
20/8/2024 18:35,7.7,8.2,7.7
20/8/2024 18:40,7.7,8.2,7.7
20/8/2024 18:45,7.6,8.4,7.6
20/8/2024 18:50,7.6,8.2,7.6
20/8/2024 18:55,7.6,8.3,7.6
20/8/2024 19:00,7.6,8.1,7.6
20/8/2024 19:05,7.8,8.3,7.8
20/8/2024 19:10,7.7,8.2,7.7
20/8/2024 19:15,7.7,8.1,7.7
20/8/2024 19:20,7.7,8.2,7.7
20/8/2024 19:25,7.6,8.2,7.6
20/8/2024 19:30,7.7,8.2,7.7
20/8/2024 19:35,7.8,8,7.8
20/8/2024 19:40,7.7,8.2,7.7
20/8/2024 19:45,7.7,8.2,7.7
20/8/2024 19:50,7.9,8.1,7.9
20/8/2024 19:55,7.8,8.1,7.8
20/8/2024 20:00,7.7,8.2,7.7
20/8/2024 20:05,7.8,8.2,7.8
20/8/2024 20:10,7.7,8.1,7.7
20/8/2024 20:15,7.7,8,7.7
20/8/2024 20:20,7.7,8.2,7.7
20/8/2024 20:25,7.7,8.2,7.7
20/8/2024 20:30,7.7,8.1,7.7
20/8/2024 20:35,7.8,8,7.8
20/8/2024 20:40,7.8,8.2,7.8
20/8/2024 20:45,7.7,8.2,7.7
20/8/2024 20:50,7.7,8,7.7
20/8/2024 20:55,7.8,8.2,7.8
20/8/2024 21:00,7.8,8,7.8
20/8/2024 21:05,7.6,8.1,7.6
20/8/2024 21:10,7.6,7.9,7.6
20/8/2024 21:15,7.6,7.9,7.6
20/8/2024 21:20,7.7,7.9,7.7
20/8/2024 21:25,7.7,7.9,7.7
20/8/2024 21:30,7.7,7.9,7.7
20/8/2024 21:35,7.7,8.2,7.7
20/8/2024 21:40,7.8,7.9,7.8
20/8/2024 21:45,7.8,8.1,7.8
20/8/2024 21:50,7.7,7.9,7.7
20/8/2024 21:55,7.7,7.9,7.7
20/8/2024 22:00,7.8,8,7.8
20/8/2024 22:05,7.8,8.1,7.8
20/8/2024 22:10,7.7,8.2,7.7
20/8/2024 22:15,7.7,7.9,7.7
20/8/2024 22:20,7.8,7.9,7.8
20/8/2024 22:25,7.8,8,7.8
20/8/2024 22:30,7.7,8.1,7.7
20/8/2024 22:35,7.7,8.1,7.7
20/8/2024 22:40,7.8,8.1,7.8
20/8/2024 22:45,7.6,8.3,7.6
20/8/2024 22:50,7.8,7.9,7.8
20/8/2024 22:55,7.7,7.9,7.7
20/8/2024 23:00,7.7,7.9,7.7
20/8/2024 23:05,7.6,7.9,7.6
20/8/2024 23:10,7.6,7.8,7.6
20/8/2024 23:15,7.6,7.9,7.6
20/8/2024 23:20,7.7,7.8,7.7
20/8/2024 23:25,7.7,7.8,7.7
20/8/2024 23:30,7.7,7.9,7.7
20/8/2024 23:35,7.8,7.9,7.8
20/8/2024 23:40,7.8,7.8,7.8
